+----------------------------------+-------------+-------------+--------------------+---------------------+----------+----------------+---------------------+
|               Name               | Enchantment |   Quality   |   BM Age (mins)    | Caerleon Age (mins) | BM Price | Caerleon Price |       Profit        |
+----------------------------------+-------------+-------------+--------------------+---------------------+----------+----------------+---------------------+
|     Master's Tome of Spells      |      4      |   Normal    | 10.239403666666647 |  5.239403666666647  | 1209087  |    1500000     | -327185.6100000001  |
|       Grandmaster's Muisak       |      3      |  Excellent  | 10.239403666666647 |  5.239403666666647  |  134148  |     948998     |     -818874.44      |
|      Elder's Eye of Secrets      |      0      |   Normal    | 65.23940366666665  |  85.23940366666665  |  155125  |     499995     |     -349523.75      |
|      Elder's Eye of Secrets      |      0      |    Good     | 65.23940366666665  |  85.23940366666665  |  98550   |     499996     |      -404402.5      |
|      Elder's Eye of Secrets      |      0      | Outstanding | 65.23940366666665  |  85.23940366666665  |  135050  |     499999     |      -369000.5      |
|      Elder's Eye of Secrets      |      0      |  Excellent  | 65.23940366666665  |  85.23940366666665  |  195275  |     222222     |      -32805.25      |
|         Elder's Taproot          |      3      |  Excellent  | 10.239403666666647 |  5.239403666666647  |  825746  |    3330000     |     -2529026.38     |
|     Master's Avalonian Cape      |      4      |  Excellent  | 10.239403666666647 |  5.239403666666647  |  758670  |    1999999     |     -1264089.1      |
|     Master's Brecilien Cape      |      4      | Outstanding | 10.239403666666647 |  5.239403666666647  |  212415  |    1699999     |     -1493956.45     |
|      Master's Caerleon Cape      |      4      | Outstanding | 10.239403666666647 |  5.239403666666647  |  166096  |    1699999     |     -1538885.88     |
|      Master's Caerleon Cape      |      4      |  Excellent  | 10.239403666666647 |  5.239403666666647  |  581336  |    2000000     |     -1436104.08     |
|      Master's Lymhurst Cape      |      4      |    Good     | 10.239403666666647 |  5.239403666666647  | 1583844  |    1700000     | -163671.32000000007 |
|     Grandmaster's Mistcaller     |      3      | Outstanding | 10.239403666666647 |  5.239403666666647  |  650484  |     949999     |     -319029.52      |
|    Grandmaster's Cryptcandle     |      4      |  Excellent  | 10.239403666666647 |  5.239403666666647  |  181426  |    5000000     |     -4824016.78     |
|      Elder's Caerleon Cape       |      4      |  Excellent  | 10.239403666666647 |  5.239403666666647  | 5742418  |    15555551    |     -9985405.54     |
|      Elder's Lymhurst Cape       |      3      |  Excellent  | 10.239403666666647 |  5.239403666666647  |  204799  |    2199979     |     -2001323.97     |
|      Elder's Martlock Cape       |      2      |    Good     | 10.239403666666647 |  5.239403666666647  |  260652  |    3199998     |     -2947165.56     |
|       Elder's Cryptcandle        |      4      |  Excellent  | 10.239403666666647 |  5.239403666666647  |  233271  |    13299998    |    -13073725.13     |
|      Master's Morgana Cape       |      4      |    Good     | 10.239403666666647 |  5.239403666666647  |  735568  |    2500000     |     -1786499.04     |
|      Master's Morgana Cape       |      4      |  Excellent  | 10.239403666666647 |  5.239403666666647  |  124572  |    2000000     |     -1879165.16     |
|      Master's Soldier Boots      |      1      |   Normal    | 65.23940366666665  |  65.23940366666665  |   3650   |     37978      |      -34437.5       |
|      Master's Soldier Boots      |      4      |  Excellent  | 10.239403666666647 |  5.239403666666647  | 1238292  |    8000000     |     -6798856.76     |
|        Grandmaster's Bag         |      0      |   Normal    | 75.23940366666665  |  5.239403666666647  |  108040  |     97999      |  6799.800000000003  |
|        Grandmaster's Bag         |      0      |    Good     | 75.23940366666665  |  5.239403666666647  |  108040  |     97998      |  6800.800000000003  |
